Pulse,BloodPressure,BloodOxygen
52,151,126
39,181,126
3,86,105
26,182,89
37,157,146
30,77,52
79,134,73
87,116,98
0,93,41
68,60,107
48,75,115
94,0,117
81,122,58
0,79,83
0,76,12152,151,126
39,181,126
3,86,105
26,182,89
37,157,146
30,77,52
79,134,73
87,116,98
0,93,41
68,60,107
48,75,115
94,0,117
81,122,58
0,79,83
0,76,12152,151,126
39,181,126
3,86,105
26,182,89
37,157,146
30,77,52
79,134,73
87,116,98
0,93,41
68,60,107
48,75,115
94,0,117
81,122,58
0,79,83
0,76,12152,151,126
39,181,126
3,86,105
26,182,89
37,157,146
30,77,52
79,134,73
87,116,98
0,93,41
68,60,107
48,75,115
94,0,117
81,122,58
0,79,83
0,76,12152,151,126
39,181,126
3,86,105
26,182,89
37,157,146
30,77,52
79,134,73
87,116,98
0,93,41
68,60,107
48,75,115
94,0,117
81,122,58
0,79,83
0,76,12152,151,126
39,181,126
3,86,105
26,182,89
37,157,146
30,77,52
79,134,73
87,116,98
0,93,41
68,60,107
48,75,115
94,0,117
81,122,58
0,79,83
0,76,12152,151,126
39,181,126
3,86,105
26,182,89
37,157,146
30,77,52
79,134,73
87,116,98
0,93,41
68,60,107
48,75,115
94,0,117
81,122,58
0,79,83
0,76,12152,151,126
39,181,126
3,86,105
26,182,89
37,157,146
30,77,52
79,134,73
87,116,98
0,93,41
68,60,107
48,75,115
94,0,117
81,122,58
0,79,83
0,76,12152,151,126
39,181,126
3,86,105
26,182,89
37,157,146
30,77,52
79,134,73
87,116,98
0,93,41
68,60,107
48,75,115
94,0,117
81,122,58
0,79,83
0,76,12152,151,126
39,181,126
3,86,105
26,182,89
37,157,146
30,77,52
79,134,73
87,116,98
0,93,41
68,60,107
48,75,115
94,0,117
81,122,58
0,79,83
0,76,12152,151,126
39,181,126
3,86,105
26,182,89
37,157,146
30,77,52
79,134,73
87,116,98
0,93,41
68,60,107
48,75,115
94,0,117
81,122,58
0,79,83
0,76,12152,151,126
39,181,126
3,86,105
26,182,89
37,157,146
30,77,52
79,134,73
87,116,98
0,93,41
68,60,107
48,75,115
94,0,117
81,122,58
0,79,83
0,76,12152,151,126
39,181,126
3,86,105
26,182,89
37,157,146
30,77,52
79,134,73
87,116,98
0,93,41
68,60,107
48,75,115
94,0,117
81,122,58
0,79,83
0,76,12152,151,126
39,181,126
3,86,105
26,182,89
37,157,146
30,77,52
79,134,73
87,116,98
0,93,41
68,60,107
48,75,115
94,0,117
81,122,58
0,79,83
0,76,12152,151,126
39,181,126
3,86,105
26,182,89
37,157,146
30,77,52
79,134,73
87,116,98
0,93,41
68,60,107
48,75,115
94,0,117
81,122,58
0,79,83
0,76,12152,151,126
39,181,126
3,86,105
26,182,89
37,157,146
30,77,52
79,134,73
87,116,98
0,93,41
68,60,107
48,75,115
94,0,117
81,122,58
0,79,83
0,76,12152,151,126
39,181,126
3,86,105
26,182,89
37,157,146
30,77,52
79,134,73
87,116,98
0,93,41
68,60,107
48,75,115
94,0,117
81,122,58
0,79,83
0,76,12152,151,126
39,181,126
3,86,105
26,182,89
37,157,146
30,77,52
79,134,73
87,116,98
0,93,41
68,60,107
48,75,115
94,0,117
81,122,58
0,79,83
0,76,12152,151,126
39,181,126
3,86,105
26,182,89
37,157,146
30,77,52
79,134,73
87,116,98
0,93,41
68,60,107
48,75,115
94,0,117
81,122,58
0,79,83
0,76,12152,151,126
39,181,126
3,86,105
26,182,89
37,157,146
30,77,52
79,134,73
87,116,98
0,93,41
68,60,107
48,75,115
94,0,117
81,122,58
0,79,83
0,76,12152,151,126
39,181,126
3,86,105
26,182,89
37,157,146
30,77,52
79,134,73
87,116,98
0,93,41
68,60,107
48,75,115
94,0,117
81,122,58
0,79,83
0,76,121
